	stage	head	weir_flow
2005-04-02 22:00:00	947.7030180461534	0.0030180461533291236	10.44208575760401
2005-04-02 22:30:00	947.7643791102397	0.06437911023965626	80.31561411574864
2005-04-02 23:00:00	947.8247521828916	0.12475218289159784	124.83473395662539
2005-04-02 23:30:00	947.8841636742194	0.18416367421934865	161.84749610295665
2005-04-03 00:00:00	947.942639994333	0.24263999433298977	194.51134150741117
2005-04-03 00:30:00	948.0002075533429	0.30020755334282967	224.1735732520516
2005-04-03 01:00:00	948.0937399041788	0.3937399041788012	268.60223693657184
2005-04-03 01:30:00	948.1764552414038	0.4764552414037553	305.0128083222364
2005-04-03 02:00:00	948.2623679151114	0.5623679151113947	340.656772585954
2005-04-03 02:30:00	948.3283966704442	0.6283966704442037	366.8252772984465
2005-04-03 03:00:00	948.393291850258	0.6932918502579923	391.6643722024639
2005-04-03 03:30:00	948.4602684290975	0.7602684290974366	416.49965106836663
2005-04-03 04:00:00	948.5447251105327	0.8447251105326359	446.80045553096664
2005-04-03 04:30:00	948.6244029121747	0.924402912174628	474.4723122498071
2005-04-03 05:00:00	948.676179018323	0.9761790183229095	492.0278099114119
2005-04-03 05:30:00	948.7455614959634	1.0455614959633976	515.0741153648477
2005-04-03 06:00:00	948.7895948469381	1.0895948469380983	529.4358733701264
2005-04-03 06:30:00	948.8476565138498	1.1476565138497108	548.0808419445518
2005-04-03 07:00:00	948.9050233916242	1.205023391624195	566.1962508274095
2005-04-03 07:30:00	948.961747254466	1.261747254465945	583.8279959307876
2005-04-03 08:00:00	948.9898842347259	1.2898842347258324	592.4756337186852
2005-04-03 08:30:00	949.0457406518015	1.3457406518014068	609.4586595152526
2005-04-03 09:00:00	949.0734730321683	1.3734730321682491	617.8031173768792
2005-04-03 09:30:00	949.1422847266196	1.442284726619505	638.2693756075851
2005-04-03 10:00:00	949.1832480405915	1.483248040591434	650.2981620174646
2005-04-03 10:30:00	949.210435523314	1.5104355233139586	658.2205923922342
2005-04-03 11:00:00	949.2780265437447	1.5780265437446133	677.7136096327512
2005-04-03 11:30:00	949.3183545299373	1.6183545299372781	689.2113955294277
2005-04-03 12:00:00	949.3719879869506	1.671987986950512	704.355817895065
2005-04-03 12:30:00	949.4518690917819	1.7518690917818276	726.6151320252529
2005-04-03 13:00:00	949.5182822036232	1.8182822036231983	744.8649344513781
2005-04-03 13:30:00	949.5846006980679	1.8846006980678567	762.8683012408829
2005-04-03 14:00:00	949.6376553227411	1.9376553227410795	777.1192878192574
2005-04-03 14:30:00	949.6642003754997	1.9642003754996722	784.2006491920155
2005-04-03 15:00:00	949.7173583207384	2.017358320738367	798.2863444986781
2005-04-03 15:30:00	949.75731162204	2.057311622039947	808.7917711635696
2005-04-03 16:00:00	949.7973619145334	2.097361914533394	819.2546643311586
2005-04-03 16:30:00	949.8107373408319	2.110737340831861	822.7340404358401
2005-04-03 17:00:00	949.8509509317362	2.1509509317361335	833.1509102688526
2005-04-03 17:30:00	949.8509509317362	2.1509509317361335	833.1509102688526
2005-04-03 18:00:00	949.8643872626137	2.1643872626136726	836.616933479649
2005-04-03 18:30:00	949.8375310404613	2.1375310404612264	829.6819164455372
2005-04-03 19:00:00	949.8643872626137	2.1643872626136726	836.616933479649
2005-04-03 19:30:00	949.8643872626137	2.1643872626136726	836.616933479649
2005-04-03 20:00:00	949.8375310404613	2.1375310404612264	829.6819164455372
2005-04-03 20:30:00	949.8107373408319	2.110737340831861	822.7340404358401
2005-04-03 21:00:00	949.7973619145334	2.097361914533394	819.2546643311586
2005-04-03 21:30:00	949.7706498641094	2.0706498641093276	812.2837837129421
2005-04-03 22:00:00	949.7173583207384	2.017358320738367	798.2863444986781
2005-04-03 22:30:00	949.7040583320337	2.004058332033651	794.773863281812
2005-04-03 23:00:00	949.6642003754997	1.9642003754996722	784.2006491920155
2005-04-03 23:30:00	949.6111242541891	1.911124254189076	770.0092703492428
2005-04-04 00:00:00	949.5846006980679	1.8846006980678567	762.8683012408829
2005-04-04 00:30:00	949.5315502360162	1.8315502360161418	748.484068894231
2005-04-04 01:00:00	949.491733975778	1.7917339757779018	737.5967997010366
2005-04-04 01:30:00	949.4252547029598	1.7252547029597736	719.237215425255
2005-04-04 02:00:00	949.3986025241398	1.698602524139801	711.8107038411748
2005-04-04 02:30:00	949.3451589094042	1.645158909404131	696.8006923125062
2005-04-04 03:00:00	949.2914864733705	1.5914864733704235	681.5619008828626
2005-04-04 03:30:00	949.2239952736135	1.5239952736134228	662.1541181575914
2005-04-04 04:00:00	949.1832480405915	1.483248040591434	650.2981620174646
2005-04-04 04:30:00	949.1285784954376	1.4285784954375913	634.2192356663817
2005-04-04 05:00:00	949.0801351956447	1.3801351956446979	619.7993148453069
2005-04-04 05:30:00	949.0313194358658	1.3313194358657938	605.0967948757234
2005-04-04 06:00:00	948.9820959873146	1.2820959873145057	590.0883379038202
2005-04-04 06:30:00	948.9324296212048	1.2324296212048012	574.7488217644363
2005-04-04 07:00:00	948.8822851087505	1.1822851087504205	559.0510712890397
2005-04-04 07:30:00	948.8316272211655	1.131627221165445	542.9655326682723
2005-04-04 08:00:00	948.7804207296634	1.0804207296633876	526.4598752269262
2005-04-04 08:30:00	948.7286304054585	1.0286304054584434	509.4984995594134
2005-04-04 09:00:00	948.6762210197643	0.9762210197642389	492.0419232578433
2005-04-04 09:30:00	948.6231573437948	0.9231573437947418	474.0460042693515
2005-04-04 10:00:00	948.5694041487636	0.8694041487635786	455.4609453216171
2005-04-04 10:30:00	948.514926205885	0.8149262058849445	436.2299976955044
