	stage	head	weir_flow
2005-04-02 15:30:00	951.1469066571254	0.09690665712548707	105.48865280515953
2005-04-02 16:00:00	951.2451444768096	0.1951444768096735	168.21866431538376
2005-04-02 16:30:00	951.3411259015048	0.29112590150486994	219.62944726308473
2005-04-02 17:00:00	951.4348968963066	0.38489689630659996	264.5653375099148
2005-04-02 17:30:00	951.5265034263108	0.47650342631084186	305.03337236105193
2005-04-02 18:00:00	951.6159914566131	0.5659914566131192	342.11852280849916
2005-04-02 18:30:00	951.703406952309	0.6534069523090693	376.49496424709463
2005-04-02 19:00:00	951.7887958784945	0.7387958784945567	408.62002590508376
2005-04-02 19:30:00	951.8722042002652	0.8222042002652188	438.8234205713246
2005-04-02 20:00:00	951.9536778827166	0.9036778827166927	467.35379448406945
2005-04-02 20:30:00	952.0332628909447	0.9832628909447294	494.40528391448714
2005-04-02 21:00:00	952.111005190045	1.0610051900450799	520.1337201256918
2005-04-02 21:30:00	952.1869507451133	1.1369507451133813	544.6670520346598
2005-04-02 22:00:00	952.2611455212453	1.2111455212453848	568.1123399558453
2005-04-02 22:30:00	952.3336354835367	1.2836354835367274	590.5606151068354
2005-04-02 23:00:00	952.4044665970831	1.3544665970831602	612.0903563946223
2005-04-02 23:30:00	952.4736848269803	1.4236848269803204	632.7700406152773
2005-04-03 00:00:00	952.5413361383239	1.491336138323959	652.6600535589885
2005-04-03 00:30:00	952.6074664962097	1.5574664962097131	671.814149176147
2005-04-03 01:00:00	952.7139017593382	1.6639017593382732	702.0830016137281
2005-04-03 01:30:00	952.8069709246336	1.756970924633606	728.0251582240438
2005-04-03 02:00:00	952.9025741100093	1.8525741100093	754.2009317834736
2005-04-03 02:30:00	952.9753090425028	1.9253090425028176	773.8146923563811
2005-04-03 03:00:00	953.0461661179061	1.9961661179061139	792.6858835648767
2005-04-03 03:30:00	953.1186436002581	2.068643600258156	811.7590148477071
2005-04-03 04:00:00	953.2091006581974	2.159100658197417	835.2540642393432
2005-04-03 04:30:00	953.2934979862642	2.2434979862642876	856.8808958945268
2005-04-03 05:00:00	953.3478624404479	2.2978624404479433	870.6682118821196
2005-04-03 05:30:00	953.4201402348748	2.370140234874839	888.8313540839871
2005-04-03 06:00:00	953.4656813797126	2.4156813797126233	900.1808550276992
2005-04-03 06:30:00	953.5253557252511	2.47535572525112	914.945200941121
2005-04-03 07:00:00	953.5839158931334	2.5339158931334396	929.3189676973072
2005-04-03 07:30:00	953.6414519930272	2.591451993027249	943.333917177286
2005-04-03 08:00:00	953.6698641767496	2.6198641767496156	950.2164005922778
2005-04-03 08:30:00	953.7260331302878	2.6760331302878058	963.7498605983326
2005-04-03 09:00:00	953.7538124275204	2.703812427520461	970.4080209989473
2005-04-03 09:30:00	953.8224609079492	2.7724609079492666	986.7647461243555
2005-04-03 10:00:00	953.8631579060725	2.813157906072547	996.3977646690448
2005-04-03 10:30:00	953.8901076666583	2.840107666658355	1002.7512386696013
2005-04-03 11:00:00	953.9569286990926	2.9069286990926457	1018.4184472803584
2005-04-03 11:30:00	953.9966981840462	2.9466981840462267	1027.6860025159456
2005-04-03 12:00:00	954.0495066085132	2.9995066085132294	1039.9278755500031
2005-04-03 12:30:00	954.1280619277669	3.078061927766953	1058.0062659901607
2005-04-03 13:00:00	954.1933675878945	3.143367587894545	1072.9186261452398
2005-04-03 13:30:00	954.2586571007931	3.2086571007931752	1087.7244136502488
2005-04-03 14:00:00	954.3109953540462	3.2609953540462584	1099.520820875274
2005-04-03 14:30:00	954.3372310035157	3.2872310035157852	1105.4102498064117
2005-04-03 15:00:00	954.3898916666832	3.3398916666832292	1117.1845588122285
2005-04-03 15:30:00	954.4295972086105	3.379597208610562	1126.0213701269827
2005-04-03 16:00:00	954.469525027632	3.419525027632062	1134.8728215836138
2005-04-03 16:30:00	954.4828902660456	3.4328902660456606	1137.828004389387
2005-04-03 17:00:00	954.5231735889953	3.473173588995337	1146.7119303398301
2005-04-03 17:30:00	954.5231735889953	3.473173588995337	1146.7119303398301
2005-04-03 18:00:00	954.5366685924267	3.4866685924267813	1149.6803734728971
2005-04-03 18:30:00	954.5097131387637	3.459713138763732	1143.747255391804
2005-04-03 19:00:00	954.5366685924267	3.4866685924267813	1149.6803734728971
2005-04-03 19:30:00	954.5366685924267	3.4866685924267813	1149.6803734728971
2005-04-03 20:00:00	954.5097131387637	3.459713138763732	1143.747255391804
2005-04-03 20:30:00	954.4828902660456	3.4328902660456606	1137.828004389387
2005-04-03 21:00:00	954.469525027632	3.419525027632062	1134.8728215836138
2005-04-03 21:30:00	954.442879906878	3.392879906878079	1128.969812604922
2005-04-03 22:00:00	954.3898916666832	3.3398916666832292	1117.1845588122285
2005-04-03 22:30:00	954.3766993104539	3.3266993104539324	1114.2407475011205
2005-04-03 23:00:00	954.3372310035157	3.2872310035157852	1105.4102498064117
2005-04-03 23:30:00	954.2848078077081	3.2348078077081936	1093.6264183527223
2005-04-04 00:00:00	954.2586571007931	3.2086571007931752	1087.7244136502488
2005-04-04 00:30:00	954.2064211503982	3.1564211503982733	1075.886936267407
2005-04-04 01:00:00	954.1672571172559	3.1172571172559174	1066.9688844267046
2005-04-04 01:30:00	954.1018957195122	3.051895719512231	1052.0017551629019
2005-04-04 02:00:00	954.0756875047213	3.0256875047213043	1045.970378148479
2005-04-04 02:30:00	954.0231000006967	2.973100000696718	1033.8154438694398
2005-04-04 03:00:00	953.9702093060256	2.92020930602564	1021.5179241479638
2005-04-04 03:30:00	953.903532299393	2.8535322993930095	1005.9086270196285
