	stage	head	weir_flow
2005-04-02 00:00:00	950.397351468735	0.0	0.0
2005-04-02 00:30:00	950.4089035849107	0.011552116175721494	25.551184398366807
2005-04-02 01:00:00	950.420429909901	0.02307844116603519	40.529786720443305
2005-04-02 01:30:00	950.431930488663	0.034579019928060006	53.069515688346904
2005-04-02 02:00:00	950.4434053661543	0.04605389741925592	64.24129157209966
2005-04-02 02:30:00	950.4548545873316	0.057503118596628156	74.48993639373785
2005-04-02 03:00:00	950.4662781971525	0.06892672841752301	84.05465718550599
2005-04-02 03:30:00	950.477676240574	0.0803247718390594	93.08284987557343
2005-04-02 04:00:00	950.4890487625536	0.0916972938185836	101.67347885444556
2005-04-02 04:30:00	950.5003958080483	0.10304433931332824	109.89706577563845
2005-04-02 05:00:00	950.5117174220153	0.11436595328029853	117.80611675019598
2005-04-02 05:30:00	950.5230136494121	0.12566218067706814	125.44106493666388
2005-04-02 06:00:00	950.5342845351955	0.1369330664605286	132.83389077111354
2005-04-02 06:30:00	950.5342845351955	0.1369330664605286	132.83389077111354
2005-04-02 07:00:00	950.5342845351955	0.1369330664605286	132.83389077111354
2005-04-02 07:30:00	950.5727358003827	0.17538433164770595	156.6620718348876
2005-04-02 08:00:00	950.6108915127185	0.21354004398347115	178.63075050755242
2005-04-02 08:30:00	950.6487534841233	0.2514020153882939	199.1662933926619
2005-04-02 09:00:00	950.6863235265173	0.2889720577823027	218.54484727108982
2005-04-02 09:30:00	950.7236034518212	0.32625198308619474	236.95840130190544
2005-04-02 10:00:00	950.7605950719551	0.3632436032200985	254.54739351786498
2005-04-02 10:30:00	950.7973001988396	0.3999487301045974	271.41856651275407
2005-04-02 11:00:00	950.8337206443948	0.43636917565982003	287.655521384409
2005-04-02 11:30:00	950.8698582205415	0.4725067518064634	303.32533327618864
2005-04-02 12:00:00	950.9057147391997	0.5083632704646561	318.48289647617975
2005-04-02 12:30:00	950.9412920122899	0.5439405435548679	333.1738890629935
2005-04-02 13:00:00	950.9765918517326	0.5792403829975683	347.4368607729953
2005-04-02 13:30:00	951.0116160694479	0.614264600712886	361.3047433037244
2005-04-02 14:00:00	951.0463664773565	0.6490150086215181	374.8059681894333
2005-04-02 14:30:00	951.0463664773565	0.6490150086215181	374.8059681894333
2005-04-02 15:00:00	951.0463664773565	0.6490150086215181	374.8059681894333
2005-04-02 15:30:00	951.1469066571254	0.7495551883904454	412.57769713486886
2005-04-02 16:00:00	951.2451444768096	0.8477930080746319	447.8816038037021
2005-04-02 16:30:00	951.3411259015048	0.9437744327698283	481.07797730123656
2005-04-02 17:00:00	951.4348968963066	1.0375454275715583	512.4381070249357
2005-04-02 17:30:00	951.5265034263108	1.1291519575758002	542.173473690357
2005-04-02 18:00:00	951.6159914566131	1.2186399878780776	570.4535504800363
2005-04-02 18:30:00	951.703406952309	1.3060554835740277	597.4172461937806
2005-04-02 19:00:00	951.7887958784945	1.391444409759515	623.1805801927375
2005-04-02 19:30:00	951.8722042002652	1.4748527315301772	647.8420130511557
2005-04-02 20:00:00	951.9536778827166	1.556326413981651	671.4862590424635
2005-04-02 20:30:00	952.0332628909447	1.6359114222096878	694.1870816611914
2005-04-02 21:00:00	952.111005190045	1.7136537213100382	716.0093879590834
2005-04-02 21:30:00	952.1869507451133	1.7895992763783397	737.0108271965336
2005-04-02 22:00:00	952.2611455212453	1.8637940525103431	757.243031353558
2005-04-02 22:30:00	952.3336354835367	1.9362840148016858	776.7525918526669
2005-04-02 23:00:00	952.4044665970831	2.0071151283481186	795.5818386401737
2005-04-02 23:30:00	952.4736848269803	2.0763333582452788	813.769468903845
2005-04-03 00:00:00	952.5413361383239	2.1439846695889173	831.3510598103071
2005-04-03 00:30:00	952.6074664962097	2.2101150274746715	848.359490661109
2005-04-03 01:00:00	952.7139017593382	2.3165502906032316	875.3824314077305
2005-04-03 01:30:00	952.8069709246336	2.4096194558985644	898.6742787081762
2005-04-03 02:00:00	952.9025741100093	2.5052226412742584	922.2901201357183
2005-04-03 02:30:00	952.9753090425028	2.577957573767776	940.056265123999
2005-04-03 03:00:00	953.0461661179061	2.6488146491710722	957.2037339238914
2005-04-03 03:30:00	953.1186436002581	2.721292131523114	974.585880020443
2005-04-03 04:00:00	953.2091006581974	2.8117491894623754	996.0650995521628
2005-04-03 04:30:00	953.2934979862642	2.896146517529246	1015.8985891192043
2005-04-03 05:00:00	953.3478624404479	2.9505109717129017	1028.5723061576216
2005-04-03 05:30:00	953.4201402348748	3.022788766139797	1045.3022150677543
2005-04-03 06:00:00	953.4656813797126	3.0683299109775817	1055.7749987309599
2005-04-03 06:30:00	953.5253557252511	3.1280042565160784	1069.4198178212555
2005-04-03 07:00:00	953.5839158931334	3.186564424398398	1082.7257690319898
2005-04-03 07:30:00	953.6414519930272	3.2441005242922074	1095.7198762140274
2005-04-03 08:00:00	953.6698641767496	3.272512708014574	1102.1081960950944
2005-04-03 08:30:00	953.7260331302878	3.328681661552764	1114.6833477790678
2005-04-03 09:00:00	953.7538124275204	3.3564609587854193	1120.8764321270003
2005-04-03 09:30:00	953.8224609079492	3.425109439214225	1136.1080561352096
2005-04-03 10:00:00	953.8631579060725	3.4658064373375055	1145.0897846964526
2005-04-03 10:30:00	953.8901076666583	3.4927561979233133	1151.018186410486
2005-04-03 11:00:00	953.9569286990926	3.559577230357604	1165.6521016242884
2005-04-03 11:30:00	953.9966981840462	3.599346715311185	1174.3182034369718
2005-04-03 12:00:00	954.0495066085132	3.6521551397781877	1185.776437064371
2005-04-03 12:30:00	954.1280619277669	3.7307104590319113	1202.7195418424958
2005-04-03 13:00:00	954.1933675878945	3.7960161191595034	1216.7145538758953
2005-04-03 13:30:00	954.2586571007931	3.8613056320581336	1230.6261046707202
2005-04-03 14:00:00	954.3109953540462	3.9136438853112168	1241.7215200785956
2005-04-03 14:30:00	954.3372310035157	3.9398795347807436	1247.2647055260948
2005-04-03 15:00:00	954.3898916666832	3.9925401979481876	1258.3541023235264
2005-04-03 15:30:00	954.4295972086105	4.0322457398755205	1266.6831658381948
2005-04-03 16:00:00	954.469525027632	4.0721735588970205	1275.031333172823
2005-04-03 16:30:00	954.4828902660456	4.085538797310619	1277.8196540114982
2005-04-03 17:00:00	954.5231735889953	4.125822120260295	1286.2054268254526
2005-04-03 17:30:00	954.5231735889953	4.125822120260295	1286.2054268254526
2005-04-03 18:00:00	954.5366685924267	4.13931712369174	1289.0085688609051
2005-04-03 18:30:00	954.5097131387637	4.11236167002869	1283.4064159185152
2005-04-03 19:00:00	954.5366685924267	4.13931712369174	1289.0085688609051
2005-04-03 19:30:00	954.5366685924267	4.13931712369174	1289.0085688609051
2005-04-03 20:00:00	954.5097131387637	4.11236167002869	1283.4064159185152
2005-04-03 20:30:00	954.4828902660456	4.085538797310619	1277.8196540114982
2005-04-03 21:00:00	954.469525027632	4.0721735588970205	1275.031333172823
2005-04-03 21:30:00	954.442879906878	4.045528438143037	1269.4633777650797
2005-04-03 22:00:00	954.3898916666832	3.9925401979481876	1258.3541023235264
2005-04-03 22:30:00	954.3766993104539	3.9793478417188908	1255.58062807211
2005-04-03 23:00:00	954.3372310035157	3.9398795347807436	1247.2647055260948
2005-04-03 23:30:00	954.2848078077081	3.887456338973152	1236.1761317677722
2005-04-04 00:00:00	954.2586571007931	3.8613056320581336	1230.6261046707202
2005-04-04 00:30:00	954.2064211503982	3.8090696816632317	1219.5022783781058
2005-04-04 01:00:00	954.1672571172559	3.7699056485208757	1211.1287817879122
2005-04-04 01:30:00	954.1018957195122	3.7045442507771895	1197.089244657213
2005-04-04 02:00:00	954.0756875047213	3.6783360359862627	1191.4366048428722
2005-04-04 02:30:00	954.0231000006967	3.6257485319616762	1180.0537541651727
2005-04-04 03:00:00	953.9702093060256	3.5728578372905986	1168.5496286999603
2005-04-04 03:30:00	953.903532299393	3.506180830657968	1153.9656418416496
2005-04-04 04:00:00	953.8631579060725	3.4658064373375055	1145.0897846964526
2005-04-04 04:30:00	953.8088169814553	3.4114655127202695	1133.0889244932516
2005-04-04 05:00:00	953.7604757707902	3.363124302055212	1122.359405908427
2005-04-04 05:30:00	953.7115598555225	3.314208386787527	1111.449868997061
2005-04-04 06:00:00	953.662007922219	3.264656453484008	1100.3436171429012
2005-04-04 06:30:00	953.6117586574468	3.214407188711789	1089.023533339887
2005-04-04 07:00:00	953.5607507477725	3.1633992790375487	1077.4720466408883
2005-04-04 07:30:00	953.5089228797632	3.1115714110281942	1065.6710945104967
2005-04-04 08:00:00	953.4562137399856	3.058862271250632	1053.6020805360367
2005-04-04 08:30:00	953.4025620150069	3.0052105462718828	1041.2458268585144
2005-04-04 09:00:00	953.3479063913937	2.950554922658739	1028.5825205722135
2005-04-04 09:30:00	953.292185555713	2.894834086977994	1015.5916532055778
2005-04-04 10:00:00	953.2353381945318	2.8379867257967817	1002.2519522293373
2005-04-04 10:30:00	953.1773029944168	2.7799515256817813	988.5413033337937
2005-04-04 11:00:00	953.1180186419349	2.7206671731998995	974.4366619668563
2005-04-04 11:30:00	953.0574238236532	2.6600723549181566	959.9139523117426
2005-04-04 12:00:00	952.9954572261385	2.5981057574034594	944.9479514950565
2005-04-04 12:30:00	952.958058973927	2.560707505191999	935.8580647658528
2005-04-04 13:00:00	952.9201445706727	2.5227931019377365	926.597436209382
2005-04-04 13:30:00	952.8817012520789	2.4843497833438732	917.1601270435235
2005-04-04 14:00:00	952.8427162538488	2.4453647851138385	907.5399953673681
2005-04-04 14:30:00	952.8031768116861	2.4058253429510614	897.7306809880896
2005-04-04 15:00:00	952.7630701612937	2.365718692558744	887.725588746518
2005-04-04 15:30:00	952.7223835383753	2.325032069640315	877.5178701542211
2005-04-04 16:00:00	952.6811041786341	2.2837527098990904	867.1004031256228
2005-04-04 16:30:00	952.6392193177734	2.2418678490383854	856.4657695553611
2005-04-04 17:00:00	952.5967161914966	2.1993647227616293	845.6062304502917
2005-04-04 17:30:00	952.5535820355071	2.1562305667721375	834.5136982774362
2005-04-04 18:00:00	952.5098040855083	2.1124526167733393	823.1797061318066
2005-04-04 18:30:00	952.4653695772034	2.0680181084684364	811.5953732582065
2005-04-04 19:00:00	952.4202657462957	2.0229142775607443	799.7513663778287
2005-04-04 19:30:00	952.3744798284888	1.9771283597538059	787.6378561679758
2005-04-04 20:00:00	952.3279990594858	1.930647590750823	775.2444681187912
2005-04-04 20:30:00	952.2808106749902	1.8834592062552247	762.5602268384293
2005-04-04 21:00:00	952.2329019107052	1.8355504419702129	749.5734926877743
2005-04-04 21:30:00	952.1842600023343	1.7869085335993304	736.2718893914196
2005-04-04 22:00:00	952.1348721855809	1.7375207168458928	722.6422209753904
2005-04-04 22:30:00	952.0847256961481	1.6873742274131018	708.670376010704
2005-04-04 23:00:00	952.0338077697394	1.6364563010043867	694.3412166674982
2005-04-04 23:30:00	951.9821056420582	1.5847541733231765	679.6384494767167
2005-04-05 00:00:00	951.9296065488077	1.532255080072673	664.5444739103934
2005-04-05 00:30:00	951.8762977256913	1.4789462569563057	649.0402038642941
2005-04-05 01:00:00	951.8221664084125	1.4248149396775034	633.1048557699995
2005-04-05 01:30:00	951.7671998326745	1.369848363939468	616.715695253962
2005-04-05 02:00:00	951.7113852341806	1.3140337654456289	599.8477318156043
2005-04-05 02:30:00	951.6547098486343	1.2573583798993013	582.473347648386
2005-04-05 03:00:00	951.5971609117388	1.1998094430038009	564.5618420801944
2005-04-05 03:30:00	951.5387256591976	1.1413741904625567	546.0788665519643
2005-04-05 04:00:00	951.4793913267138	1.0820398579787707	526.985715642768
2005-04-05 04:30:00	951.419145149991	1.0217936812559856	507.23842588266746
2005-04-05 05:00:00	951.3579743647325	0.9606228959975169	486.7866135177588
2005-04-05 05:30:00	951.2958662066416	0.8985147379065666	465.57195089835307
2005-04-05 06:00:00	951.2328079114216	0.8354564426865636	443.5261316341387
2005-04-05 06:30:00	951.1687867147759	0.7714352460409373	420.56809434928084
2005-04-05 07:00:00	951.1037898524079	0.7064383836728894	396.6001399625262
2005-04-05 07:30:00	951.0378045600208	0.640453091285849	371.502341304463
2005-04-05 08:00:00	950.9708180733182	0.5734666045832455	345.12421018401585
2005-04-05 08:30:00	950.9028176280033	0.5054661592682805	317.2717429262917
2005-04-05 09:00:00	950.8337904597793	0.43643899104426964	287.6862022030983
2005-04-05 09:30:00	950.7637238043498	0.3663723356147557	256.00696818382454
2005-04-05 10:00:00	950.6926048974179	0.29525342868294047	221.70048205620472
2005-04-05 10:30:00	950.6204209746872	0.22306950595225317	183.90638512086127
2005-04-05 11:00:00	950.5471592718609	0.1498078031258956	141.03480244608414
2005-04-05 11:30:00	950.4728070246424	0.0754555559074106	89.28204990115685
2005-04-05 12:00:00	950.397351468735	0.0	0.0
